"year","factor_id","state_fips","county_fips","z_score","rank","quartile","last_updated"
2010,1,"01","001",-0.316685210834985,19,2,"2015-07-27 14:13:00"
2010,1,"01","003",-0.717046415664253,4,1,"2015-07-27 14:13:00"
2010,1,"01","005",-0.083115451142762,30,2,"2015-07-27 14:13:00"
2010,1,"01","007",0.529979444507506,57,4,"2015-07-27 14:13:00"
2010,1,"01","009",-0.534923739604678,9,1,"2015-07-27 14:13:00"
2010,1,"01","011",1.0473055939756,65,4,"2015-07-27 14:13:00"
2010,1,"01","013",0.638738579306924,60,4,"2015-07-27 14:13:00"
2010,1,"01","015",0.132988023656177,45,3,"2015-07-27 14:13:00"
2010,1,"01","017",-0.161932383267979,29,2,"2015-07-27 14:13:00"
2010,1,"01","019",0.039920249364716,41,3,"2015-07-27 14:13:00"
2010,1,"01","021",0.392178430997458,54,4,"2015-07-27 14:13:00"
2010,1,"01","023",-0.046768086556296,37,3,"2015-07-27 14:13:00"
2010,1,"01","025",-0.231771799299299,23,2,"2015-07-27 14:13:00"
2010,1,"01","027",-0.16864622768204,28,2,"2015-07-27 14:13:00"
2010,1,"01","029",-0.081957891761028,31,2,"2015-07-27 14:13:00"
2010,1,"01","031",-0.515631083242435,10,1,"2015-07-27 14:13:00"
2010,1,"01","033",-0.222305535910892,25,2,"2015-07-27 14:13:00"
2010,1,"01","035",0.484654563827143,55,4,"2015-07-27 14:13:00"
2010,1,"01","037",0.592616268830255,59,4,"2015-07-27 14:13:00"
2010,1,"01","039",-0.004298519017545,39,3,"2015-07-27 14:13:00"
2010,1,"01","041",-0.371630696154653,15,1,"2015-07-27 14:13:00"
2010,1,"01","043",-0.339965016178758,17,1,"2015-07-27 14:13:00"
2010,1,"01","045",-0.451322228701625,13,1,"2015-07-27 14:13:00"
2010,1,"01","047",0.934636480820101,62,4,"2015-07-27 14:13:00"
2010,1,"01","049",-0.345238342251105,16,1,"2015-07-27 14:13:00"
2010,1,"01","051",-0.469534496307583,12,1,"2015-07-27 14:13:00"
2010,1,"01","053",0.231200506310902,51,4,"2015-07-27 14:13:00"
2010,1,"01","055",0.151354632513032,47,3,"2015-07-27 14:13:00"
2010,1,"01","057",0.161412537363215,49,3,"2015-07-27 14:13:00"
2010,1,"01","059",-0.067887114387499,32,2,"2015-07-27 14:13:00"
2010,1,"01","061",-0.286511496284437,20,2,"2015-07-27 14:13:00"
2010,1,"01","063",0.950713694455303,63,4,"2015-07-27 14:13:00"
2010,1,"01","065",0.143328887466339,46,3,"2015-07-27 14:13:00"
2010,1,"01","067",0.118325604820872,44,3,"2015-07-27 14:13:00"
2010,1,"01","069",-0.589277583462572,5,1,"2015-07-27 14:13:00"
2010,1,"01","071",0.02862761450735,40,3,"2015-07-27 14:13:00"
2010,1,"01","073",-0.050858129705092,36,3,"2015-07-27 14:13:00"
2010,1,"01","075",-0.547399657385596,8,1,"2015-07-27 14:13:00"
2010,1,"01","077",-0.570859527522083,6,1,"2015-07-27 14:13:00"
2010,1,"01","079",0.155264610869113,48,3,"2015-07-27 14:13:00"
2010,1,"01","081",-0.828094945685324,2,1,"2015-07-27 14:13:00"
2010,1,"01","083",-0.555193890555942,7,1,"2015-07-27 14:13:00"
2010,1,"01","085",0.997839223062809,64,4,"2015-07-27 14:13:00"
2010,1,"01","087",0.684655101449063,61,4,"2015-07-27 14:13:00"
2010,1,"01","089",-0.757715335275861,3,1,"2015-07-27 14:13:00"
2010,1,"01","091",0.090672797368324,43,3,"2015-07-27 14:13:00"
2010,1,"01","093",0.353978971400217,53,4,"2015-07-27 14:13:00"
2010,1,"01","095",-0.060504457886213,34,2,"2015-07-27 14:13:00"
2010,1,"01","097",-0.065700613333111,33,2,"2015-07-27 14:13:00"
2010,1,"01","099",-0.256106269857542,22,2,"2015-07-27 14:13:00"
2010,1,"01","101",-0.224517760507096,24,2,"2015-07-27 14:13:00"
2010,1,"01","103",-0.479566677615949,11,1,"2015-07-27 14:13:00"
2010,1,"01","105",1.23441863714754,67,4,"2015-07-27 14:13:00"
2010,1,"01","107",-0.024131369757931,38,3,"2015-07-27 14:13:00"
2010,1,"01","109",0.178904545798315,50,3,"2015-07-27 14:13:00"
2010,1,"01","111",0.049875260047633,42,3,"2015-07-27 14:13:00"
2010,1,"01","113",0.34695644448436,52,4,"2015-07-27 14:13:00"
2010,1,"01","115",-0.266550027834969,21,2,"2015-07-27 14:13:00"
2010,1,"01","117",-1.13322759871056,1,1,"2015-07-27 14:13:00"
2010,1,"01","119",0.588423331514195,58,4,"2015-07-27 14:13:00"
2010,1,"01","121",-0.056697373697398,35,3,"2015-07-27 14:13:00"
2010,1,"01","123",-0.175437242721549,26,2,"2015-07-27 14:13:00"
2010,1,"01","125",-0.381740048088468,14,1,"2015-07-27 14:13:00"
2010,1,"01","127",1.15701649982222,66,4,"2015-07-27 14:13:00"
2010,1,"01","129",-0.317714152507638,18,2,"2015-07-27 14:13:00"
2010,1,"01","131",0.516114455468508,56,4,"2015-07-27 14:13:00"
2010,1,"01","133",-0.173636594794407,27,2,"2015-07-27 14:13:00"
2010,1,"02","013",NA,999,NA,"2015-07-27 14:13:00"
2010,1,"02","016",0,14,3,"2015-07-27 14:13:00"
2010,1,"02","020",-0.369767064097614,5,1,"2015-07-27 14:13:00"
2010,1,"02","050",0.367666811262894,18,4,"2015-07-27 14:13:00"
2010,1,"02","060",NA,999,NA,"2015-07-27 14:13:00"
2010,1,"02","068",NA,999,NA,"2015-07-27 14:13:00"
2010,1,"02","070",-0.044606162330466,13,3,"2015-07-27 14:13:00"
2010,1,"02","090",-0.448958549855139,3,1,"2015-07-27 14:13:00"
2010,1,"02","100",0,14,3,"2015-07-27 14:13:00"
2010,1,"02","110",-0.569535457194787,1,1,"2015-07-27 14:13:00"
2010,1,"02","122",-0.176007391466341,11,2,"2015-07-27 14:13:00"
2010,1,"02","130",-0.443726075573828,4,1,"2015-07-27 14:13:00"
2010,1,"02","150",-0.457597882391039,2,1,"2015-07-27 14:13:00"
2010,1,"02","164",NA,999,NA,"2015-07-27 14:13:00"
2010,1,"02","170",-0.251863893615998,9,2,"2015-07-27 14:13:00"
2010,1,"02","180",0.826284557062147,20,4,"2015-07-27 14:13:00"
2010,1,"02","185",0.287512205239304,17,4,"2015-07-27 14:13:00"
2010,1,"02","188",0.648021058263986,19,4,"2015-07-27 14:13:00"
2010,1,"02","201",-0.116020811312746,12,3,"2015-07-27 14:13:00"
2010,1,"02","220",-0.285156229977303,7,2,"2015-07-27 14:13:00"
2010,1,"02","232",0,14,3,"2015-07-27 14:13:00"
2010,1,"02","240",-0.33033663290631,6,1,"2015-07-27 14:13:00"
2010,1,"02","261",-0.206956614344532,10,2,"2015-07-27 14:13:00"
2010,1,"02","270",0.939228376919993,22,4,"2015-07-27 14:13:00"
2010,1,"02","280",-0.269602556426814,8,2,"2015-07-27 14:13:00"
2010,1,"02","282",NA,999,NA,"2015-07-27 14:13:00"
2010,1,"02","290",0.901422312744591,21,4,"2015-07-27 14:13:00"
2010,1,"04","001",0.799414495631784,15,4,"2015-07-27 14:13:00"
2010,1,"04","003",-0.216675757764387,8,2,"2015-07-27 14:13:00"
2010,1,"04","005",-0.349652504172535,4,1,"2015-07-27 14:13:00"
2010,1,"04","007",0.626375159009105,13,4,"2015-07-27 14:13:00"
2010,1,"04","009",-0.131790463352671,9,3,"2015-07-27 14:13:00"
2010,1,"04","011",-0.30205136434599,5,2,"2015-07-27 14:13:00"
2010,1,"04","012",0.751016598529172,14,4,"2015-07-27 14:13:00"
2010,1,"04","013",-0.448082672277384,3,1,"2015-07-27 14:13:00"
2010,1,"04","015",0.406102416687295,11,3,"2015-07-27 14:13:00"
2010,1,"04","017",0.615281846165407,12,4,"2015-07-27 14:13:00"
2010,1,"04","019",-0.23534847956759,7,2,"2015-07-27 14:13:00"
2010,1,"04","021",-0.03284955340419,10,3,"2015-07-27 14:13:00"
2010,1,"04","023",-0.65411593199872,1,1,"2015-07-27 14:13:00"
2010,1,"04","025",-0.246972963928665,6,2,"2015-07-27 14:13:00"
2010,1,"04","027",-0.580650825210627,2,1,"2015-07-27 14:13:00"
2010,1,"05","001",0.580039115566362,66,4,"2015-07-27 14:13:00"
2010,1,"05","003",-0.090183154126917,36,2,"2015-07-27 14:13:00"
2010,1,"05","005",-0.219185861326328,29,2,"2015-07-27 14:13:00"
2010,1,"05","007",-1.10445057941245,1,1,"2015-07-27 14:13:00"
2010,1,"05","009",-0.265819173434804,25,2,"2015-07-27 14:13:00"
