"year","factor_id","state_fips","county_fips","z_score","rank","quartile","last_updated"
2016,1,"01","001",-0.322587781535081,18,2,"2016-02-24 20:29:00"
2016,1,"01","003",-0.7960894569972,4,1,"2016-02-24 20:29:00"
2016,1,"01","005",-0.514946996695835,10,1,"2016-02-24 20:29:00"
2016,1,"01","007",0.159547466084002,44,3,"2016-02-24 20:29:00"
2016,1,"01","009",-0.472989449764798,12,1,"2016-02-24 20:29:00"
2016,1,"01","011",-0.040988091555621,30,2,"2016-02-24 20:29:00"
2016,1,"01","013",0.199191968761149,48,3,"2016-02-24 20:29:00"
2016,1,"01","015",-0.01680871034344,35,3,"2016-02-24 20:29:00"
2016,1,"01","017",0.405725303942836,55,4,"2016-02-24 20:29:00"
2016,1,"01","019",0.428398516803647,56,4,"2016-02-24 20:29:00"
2016,1,"01","021",0.101048963151306,40,3,"2016-02-24 20:29:00"
2016,1,"01","023",0.56906388247629,63,4,"2016-02-24 20:29:00"
2016,1,"01","025",-0.029100119925161,32,2,"2016-02-24 20:29:00"
2016,1,"01","027",-0.51933102243286,9,1,"2016-02-24 20:29:00"
2016,1,"01","029",0.116379605299185,41,3,"2016-02-24 20:29:00"
2016,1,"01","031",-0.838665608786836,3,1,"2016-02-24 20:29:00"
2016,1,"01","033",-0.090960605785023,29,2,"2016-02-24 20:29:00"
2016,1,"01","035",0.386925095414122,54,4,"2016-02-24 20:29:00"
2016,1,"01","037",-0.027889806071381,34,2,"2016-02-24 20:29:00"
2016,1,"01","039",-0.1986247470446,21,2,"2016-02-24 20:29:00"
2016,1,"01","041",-0.348676769049892,16,1,"2016-02-24 20:29:00"
2016,1,"01","043",-0.248301406776412,20,2,"2016-02-24 20:29:00"
2016,1,"01","045",-0.55036884881646,8,1,"2016-02-24 20:29:00"
2016,1,"01","047",0.462852117841248,60,4,"2016-02-24 20:29:00"
2016,1,"01","049",-0.161831205889691,24,2,"2016-02-24 20:29:00"
2016,1,"01","051",-0.632078481878314,7,1,"2016-02-24 20:29:00"
2016,1,"01","053",0.14515817915573,43,3,"2016-02-24 20:29:00"
2016,1,"01","055",0.262881373333389,49,3,"2016-02-24 20:29:00"
2016,1,"01","057",0.050834386151148,36,3,"2016-02-24 20:29:00"
2016,1,"01","059",0.474578714291205,61,4,"2016-02-24 20:29:00"
2016,1,"01","061",-0.420623203691254,14,1,"2016-02-24 20:29:00"
2016,1,"01","063",0.429259184433001,57,4,"2016-02-24 20:29:00"
2016,1,"01","065",-0.101503784244617,27,2,"2016-02-24 20:29:00"
2016,1,"01","067",-0.17242817607612,22,2,"2016-02-24 20:29:00"
2016,1,"01","069",-0.452145155616366,13,1,"2016-02-24 20:29:00"
2016,1,"01","071",0.357769979469735,53,4,"2016-02-24 20:29:00"
2016,1,"01","073",-0.028347035749475,33,2,"2016-02-24 20:29:00"
2016,1,"01","075",-0.169362047646544,23,2,"2016-02-24 20:29:00"
2016,1,"01","077",-0.415351614461457,15,1,"2016-02-24 20:29:00"
2016,1,"01","079",0.288835881531114,50,3,"2016-02-24 20:29:00"
2016,1,"01","081",-0.878982508049416,2,1,"2016-02-24 20:29:00"
2016,1,"01","083",-0.729441507449053,6,1,"2016-02-24 20:29:00"
2016,1,"01","085",0.802708247982648,64,4,"2016-02-24 20:29:00"
2016,1,"01","087",0.337867040540909,51,4,"2016-02-24 20:29:00"
2016,1,"01","089",-0.795309476958098,5,1,"2016-02-24 20:29:00"
2016,1,"01","091",0.161215009615876,45,3,"2016-02-24 20:29:00"
2016,1,"01","093",0.442922283049006,58,4,"2016-02-24 20:29:00"
2016,1,"01","095",0.077515082661141,38,3,"2016-02-24 20:29:00"
2016,1,"01","097",-0.030310433778941,31,2,"2016-02-24 20:29:00"
2016,1,"01","099",0.171758188075471,47,3,"2016-02-24 20:29:00"
2016,1,"01","101",-0.335928129790077,17,1,"2016-02-24 20:29:00"
2016,1,"01","103",-0.255052268494162,19,2,"2016-02-24 20:29:00"
2016,1,"01","105",0.94248605016252,65,4,"2016-02-24 20:29:00"
2016,1,"01","107",0.067079487655216,37,3,"2016-02-24 20:29:00"
2016,1,"01","109",0.081441878720071,39,3,"2016-02-24 20:29:00"
2016,1,"01","111",0.166647974026178,46,3,"2016-02-24 20:29:00"
2016,1,"01","113",-0.152928675098554,25,2,"2016-02-24 20:29:00"
2016,1,"01","115",-0.094295692848772,28,2,"2016-02-24 20:29:00"
2016,1,"01","117",-1.07981392018663,1,1,"2016-02-24 20:29:00"
2016,1,"01","119",0.454998525723388,59,4,"2016-02-24 20:29:00"
2016,1,"01","121",0.339642167526453,52,4,"2016-02-24 20:29:00"
2016,1,"01","123",-0.123908038471254,26,2,"2016-02-24 20:29:00"
2016,1,"01","125",-0.500342542860224,11,1,"2016-02-24 20:29:00"
2016,1,"01","127",1.19476924901709,66,4,"2016-02-24 20:29:00"
2016,1,"01","129",0.1331626240716,42,3,"2016-02-24 20:29:00"
2016,1,"01","131",1.5,67,4,"2016-02-24 20:29:00"
2016,1,"01","133",0.510592275407011,62,4,"2016-02-24 20:29:00"
2016,1,"02","013",NA,999,NA,"2016-02-24 20:29:00"
2016,1,"02","016",0,16,3,"2016-02-24 20:29:00"
2016,1,"02","020",-0.222537921265124,11,2,"2016-02-24 20:29:00"
2016,1,"02","050",0.343403294330091,20,4,"2016-02-24 20:29:00"
2016,1,"02","060",0,16,3,"2016-02-24 20:29:00"
2016,1,"02","068",NA,999,NA,"2016-02-24 20:29:00"
2016,1,"02","070",0.768075434203627,22,4,"2016-02-24 20:29:00"
2016,1,"02","090",-0.327676710110393,4,1,"2016-02-24 20:29:00"
2016,1,"02","100",-0.322464169520499,5,1,"2016-02-24 20:29:00"
2016,1,"02","110",-0.306861144259158,6,1,"2016-02-24 20:29:00"
2016,1,"02","122",-0.265795088859574,9,2,"2016-02-24 20:29:00"
2016,1,"02","130",-0.195518048251581,12,2,"2016-02-24 20:29:00"
2016,1,"02","150",-0.282805038793409,8,2,"2016-02-24 20:29:00"
2016,1,"02","164",0,16,3,"2016-02-24 20:29:00"
2016,1,"02","170",-0.243434212302486,10,2,"2016-02-24 20:29:00"
2016,1,"02","180",0.48353068527655,21,4,"2016-02-24 20:29:00"
2016,1,"02","185",-0.093158512242959,15,3,"2016-02-24 20:29:00"
2016,1,"02","188",0.318643726528096,19,4,"2016-02-24 20:29:00"
2016,1,"02","201",-0.191481788945248,13,3,"2016-02-24 20:29:00"
2016,1,"02","220",-0.302386662513851,7,2,"2016-02-24 20:29:00"
2016,1,"02","232",-0.478909580233992,1,1,"2016-02-24 20:29:00"
2016,1,"02","240",-0.097056385515933,14,3,"2016-02-24 20:29:00"
2016,1,"02","261",-0.40925527677612,3,1,"2016-02-24 20:29:00"
2016,1,"02","270",1.31156351588618,24,4,"2016-02-24 20:29:00"
2016,1,"02","280",-0.435121932844995,2,1,"2016-02-24 20:29:00"
2016,1,"02","282",NA,999,NA,"2016-02-24 20:29:00"
2016,1,"02","290",0.949245816210776,23,4,"2016-02-24 20:29:00"
2016,1,"04","001",0.909016564808791,15,4,"2016-02-24 20:29:00"
2016,1,"04","003",-0.275244384232337,6,2,"2016-02-24 20:29:00"
2016,1,"04","005",-0.18329891516012,8,2,"2016-02-24 20:29:00"
2016,1,"04","007",0.464222089694507,12,4,"2016-02-24 20:29:00"
2016,1,"04","009",-0.18458879763991,7,2,"2016-02-24 20:29:00"
2016,1,"04","011",-0.127007120785691,9,3,"2016-02-24 20:29:00"
