"year","factor_id","state_fips","county_fips","z_score","rank","quartile","last_updated"
2018,1,"01","001",-0.286108147930391,18,2,"2018-01-18 13:59:00"
2018,1,"01","003",-0.745221920472643,4,1,"2018-01-18 13:59:00"
2018,1,"01","005",-0.399561352219318,14,1,"2018-01-18 13:59:00"
2018,1,"01","007",0.265444661428375,53,4,"2018-01-18 13:59:00"
2018,1,"01","009",-0.297971398137828,17,1,"2018-01-18 13:59:00"
2018,1,"01","011",0.407577832059664,58,4,"2018-01-18 13:59:00"
2018,1,"01","013",0.510729445855902,59,4,"2018-01-18 13:59:00"
2018,1,"01","015",0.21480715880324,47,3,"2018-01-18 13:59:00"
2018,1,"01","017",-0.063667505157717,33,2,"2018-01-18 13:59:00"
2018,1,"01","019",0.251549043461218,52,4,"2018-01-18 13:59:00"
2018,1,"01","021",0.113583627544157,43,3,"2018-01-18 13:59:00"
2018,1,"01","023",0.222107131040285,49,3,"2018-01-18 13:59:00"
2018,1,"01","025",-0.351239221109793,15,1,"2018-01-18 13:59:00"
2018,1,"01","027",-0.09065233343781,30,2,"2018-01-18 13:59:00"
2018,1,"01","029",0.179978626225104,44,3,"2018-01-18 13:59:00"
2018,1,"01","031",-0.785935036757493,2,1,"2018-01-18 13:59:00"
2018,1,"01","033",-0.012484261955759,36,3,"2018-01-18 13:59:00"
2018,1,"01","035",0.338628942960845,56,4,"2018-01-18 13:59:00"
2018,1,"01","037",-0.21631151171195,21,2,"2018-01-18 13:59:00"
2018,1,"01","039",-0.073831121991707,32,2,"2018-01-18 13:59:00"
2018,1,"01","041",-0.275933954421371,19,2,"2018-01-18 13:59:00"
2018,1,"01","043",-0.133608069464052,28,2,"2018-01-18 13:59:00"
2018,1,"01","045",-0.640546869980443,7,1,"2018-01-18 13:59:00"
2018,1,"01","047",0.562672630702662,60,4,"2018-01-18 13:59:00"
2018,1,"01","049",-0.203060910060636,23,2,"2018-01-18 13:59:00"
2018,1,"01","051",-0.42592488006079,12,1,"2018-01-18 13:59:00"
2018,1,"01","053",0.036393814825187,41,3,"2018-01-18 13:59:00"
2018,1,"01","055",0.189089408287401,46,3,"2018-01-18 13:59:00"
2018,1,"01","057",-0.079792837243136,31,2,"2018-01-18 13:59:00"
2018,1,"01","059",0.241228812072995,50,3,"2018-01-18 13:59:00"
2018,1,"01","061",-0.15360027558902,26,2,"2018-01-18 13:59:00"
2018,1,"01","063",0.799700118405133,63,4,"2018-01-18 13:59:00"
2018,1,"01","065",-0.013853680013141,35,3,"2018-01-18 13:59:00"
2018,1,"01","067",-0.67459491776744,6,1,"2018-01-18 13:59:00"
2018,1,"01","069",-0.449167752067356,11,1,"2018-01-18 13:59:00"
2018,1,"01","071",0.182667829305551,45,3,"2018-01-18 13:59:00"
2018,1,"01","073",-0.034309028015586,34,2,"2018-01-18 13:59:00"
2018,1,"01","075",-0.214400219919758,22,2,"2018-01-18 13:59:00"
2018,1,"01","077",-0.460506062288608,10,1,"2018-01-18 13:59:00"
2018,1,"01","079",0.078940633642704,42,3,"2018-01-18 13:59:00"
2018,1,"01","081",-0.623694439166702,8,1,"2018-01-18 13:59:00"
2018,1,"01","083",-0.752355739536142,3,1,"2018-01-18 13:59:00"
2018,1,"01","085",0.904255949426089,64,4,"2018-01-18 13:59:00"
2018,1,"01","087",0.777781383807925,62,4,"2018-01-18 13:59:00"
2018,1,"01","089",-0.726760632542599,5,1,"2018-01-18 13:59:00"
2018,1,"01","091",0.246024964151856,51,4,"2018-01-18 13:59:00"
2018,1,"01","093",0.009445975061157,39,3,"2018-01-18 13:59:00"
2018,1,"01","095",-0.004337015877379,37,3,"2018-01-18 13:59:00"
2018,1,"01","097",-0.116440557054114,29,2,"2018-01-18 13:59:00"
2018,1,"01","099",0.21772658384298,48,3,"2018-01-18 13:59:00"
2018,1,"01","101",-0.134732257850357,27,2,"2018-01-18 13:59:00"
2018,1,"01","103",-0.419405909655367,13,1,"2018-01-18 13:59:00"
2018,1,"01","105",0.693598071263627,61,4,"2018-01-18 13:59:00"
2018,1,"01","107",0.017154369899264,40,3,"2018-01-18 13:59:00"
2018,1,"01","109",-0.238187702369673,20,2,"2018-01-18 13:59:00"
2018,1,"01","111",0.346930127249294,57,4,"2018-01-18 13:59:00"
2018,1,"01","113",-0.338708356190795,16,1,"2018-01-18 13:59:00"
2018,1,"01","115",-0.189420386292691,25,2,"2018-01-18 13:59:00"
2018,1,"01","117",-1.03863634992367,1,1,"2018-01-18 13:59:00"
2018,1,"01","119",1.12936560684481,66,4,"2018-01-18 13:59:00"
2018,1,"01","121",0.283304524448448,54,4,"2018-01-18 13:59:00"
2018,1,"01","123",-0.19593533544752,24,2,"2018-01-18 13:59:00"
2018,1,"01","125",-0.514642110059397,9,1,"2018-01-18 13:59:00"
2018,1,"01","127",1.02028701267181,65,4,"2018-01-18 13:59:00"
2018,1,"01","129",0.301553288637407,55,4,"2018-01-18 13:59:00"
2018,1,"01","131",1.5,67,4,"2018-01-18 13:59:00"
2018,1,"01","133",0.008714778610402,38,3,"2018-01-18 13:59:00"
2018,1,"02","013",NA,999,NA,"2018-01-18 13:59:00"
2018,1,"02","016",0,13,3,"2018-01-18 13:59:00"
2018,1,"02","020",-0.209330300262468,10,2,"2018-01-18 13:59:00"
2018,1,"02","050",0.20674380341372,22,4,"2018-01-18 13:59:00"
2018,1,"02","060",0,13,3,"2018-01-18 13:59:00"
2018,1,"02","068",0,13,3,"2018-01-18 13:59:00"
2018,1,"02","070",0.342961512233578,23,4,"2018-01-18 13:59:00"
2018,1,"02","090",-0.272225800034919,6,1,"2018-01-18 13:59:00"
2018,1,"02","100",0,13,3,"2018-01-18 13:59:00"
2018,1,"02","105",0,13,3,"2018-01-18 13:59:00"
2018,1,"02","110",-0.294489855894552,3,1,"2018-01-18 13:59:00"
2018,1,"02","122",-0.203454807656847,11,2,"2018-01-18 13:59:00"
2018,1,"02","130",-0.288666355811306,4,1,"2018-01-18 13:59:00"
2018,1,"02","150",-0.276436266592416,5,1,"2018-01-18 13:59:00"
2018,1,"02","158",1.5,25,4,"2018-01-18 13:59:00"
2018,1,"02","164",0,13,3,"2018-01-18 13:59:00"
2018,1,"02","170",-0.247618997532692,7,2,"2018-01-18 13:59:00"
2018,1,"02","180",0.1123827286654,20,4,"2018-01-18 13:59:00"
2018,1,"02","185",-0.048441463933109,12,2,"2018-01-18 13:59:00"
2018,1,"02","188",0.162439658189055,21,4,"2018-01-18 13:59:00"
2018,1,"02","195",0,13,3,"2018-01-18 13:59:00"
2018,1,"02","198",-0.334908712951515,2,1,"2018-01-18 13:59:00"
2018,1,"02","220",-0.440058472565517,1,1,"2018-01-18 13:59:00"
2018,1,"02","230",NA,999,NA,"2018-01-18 13:59:00"
2018,1,"02","240",-0.224299299178664,8,2,"2018-01-18 13:59:00"
2018,1,"02","261",-0.212011440554205,9,2,"2018-01-18 13:59:00"
2018,1,"02","275",NA,999,NA,"2018-01-18 13:59:00"
2018,1,"02","282",NA,999,NA,"2018-01-18 13:59:00"
2018,1,"02","290",0.522350283554475,24,4,"2018-01-18 13:59:00"
2018,1,"04","001",1.03341284140659,15,4,"2018-01-18 13:59:00"
2018,1,"04","003",-0.233236205365753,8,2,"2018-01-18 13:59:00"
2018,1,"04","005",-0.205365915067149,9,3,"2018-01-18 13:59:00"
2018,1,"04","007",0.634343601898084,13,4,"2018-01-18 13:59:00"
2018,1,"04","009",-0.237135958658338,6,2,"2018-01-18 13:59:00"
2018,1,"04","011",-0.235413488321937,7,2,"2018-01-18 13:59:00"
2018,1,"04","012",0.672000421322265,14,4,"2018-01-18 13:59:00"
2018,1,"04","013",-0.425082435679259,3,1,"2018-01-18 13:59:00"
2018,1,"04","015",0.276164610485749,11,3,"2018-01-18 13:59:00"
2018,1,"04","017",0.497764839541014,12,4,"2018-01-18 13:59:00"
2018,1,"04","019",-0.252983618269668,5,2,"2018-01-18 13:59:00"
2018,1,"04","021",-0.344728800923078,4,1,"2018-01-18 13:59:00"
2018,1,"04","023",-0.700112668681552,1,1,"2018-01-18 13:59:00"
2018,1,"04","025",-0.043465808108431,10,3,"2018-01-18 13:59:00"
2018,1,"04","027",-0.43616141557854,2,1,"2018-01-18 13:59:00"
2018,1,"05","001",0.319858634067789,58,4,"2018-01-18 13:59:00"
2018,1,"05","003",-0.016804132821483,37,2,"2018-01-18 13:59:00"
2018,1,"05","005",-0.153207695896098,30,2,"2018-01-18 13:59:00"
2018,1,"05","007",-1.24431850892835,1,1,"2018-01-18 13:59:00"
2018,1,"05","009",-0.374141098891624,17,1,"2018-01-18 13:59:00"
2018,1,"05","011",0.814898514115254,72,4,"2018-01-18 13:59:00"
2018,1,"05","013",-0.219326137788401,23,2,"2018-01-18 13:59:00"
2018,1,"05","015",-0.357003616565254,18,1,"2018-01-18 13:59:00"
2018,1,"05","017",0.434219078188464,64,4,"2018-01-18 13:59:00"
2018,1,"05","019",-0.453783806647136,12,1,"2018-01-18 13:59:00"
2018,1,"05","021",0.262929809726291,56,3,"2018-01-18 13:59:00"
2018,1,"05","023",-0.026772251633248,36,2,"2018-01-18 13:59:00"
2018,1,"05","025",0.088561691702352,44,3,"2018-01-18 13:59:00"
2018,1,"05","027",0.1322983002799,48,3,"2018-01-18 13:59:00"
2018,1,"05","029",-0.169377632529333,29,2,"2018-01-18 13:59:00"
2018,1,"05","031",-0.389033232794518,16,1,"2018-01-18 13:59:00"
2018,1,"05","033",-0.404216338449899,14,1,"2018-01-18 13:59:00"
2018,1,"05","035",0.412701098539291,62,4,"2018-01-18 13:59:00"
2018,1,"05","037",0.210357038047334,53,3,"2018-01-18 13:59:00"
2018,1,"05","039",0.329881732119056,59,4,"2018-01-18 13:59:00"
2018,1,"05","041",0.829081189116226,73,4,"2018-01-18 13:59:00"
2018,1,"05","043",0.149836477080549,50,3,"2018-01-18 13:59:00"
2018,1,"05","045",-0.871063240835137,3,1,"2018-01-18 13:59:00"
2018,1,"05","047",0.105703691639121,47,3,"2018-01-18 13:59:00"
2018,1,"05","049",-0.081240266383958,33,2,"2018-01-18 13:59:00"
2018,1,"05","051",0.067256860885731,42,3,"2018-01-18 13:59:00"
2018,1,"05","053",-0.485057550949035,9,1,"2018-01-18 13:59:00"
2018,1,"05","055",0.135571233295409,49,3,"2018-01-18 13:59:00"
2018,1,"05","057",0.002786349079785,38,2,"2018-01-18 13:59:00"
2018,1,"05","059",0.376525616974412,61,4,"2018-01-18 13:59:00"
2018,1,"05","061",-0.150000082232317,31,2,"2018-01-18 13:59:00"
2018,1,"05","063",-0.196288259436267,27,2,"2018-01-18 13:59:00"
2018,1,"05","065",-0.22595201262662,22,2,"2018-01-18 13:59:00"
2018,1,"05","067",0.185500070742914,51,3,"2018-01-18 13:59:00"
2018,1,"05","069",0.345803822838171,60,4,"2018-01-18 13:59:00"
2018,1,"05","071",-0.711629070580951,6,1,"2018-01-18 13:59:00"
2018,1,"05","073",0.720805639225687,71,4,"2018-01-18 13:59:00"
2018,1,"05","075",0.300989824657447,57,4,"2018-01-18 13:59:00"
2018,1,"05","077",0.066826110906396,41,3,"2018-01-18 13:59:00"
2018,1,"05","079",-0.538973056373258,8,1,"2018-01-18 13:59:00"
2018,1,"05","081",0.067591704225312,43,3,"2018-01-18 13:59:00"
2018,1,"05","083",0.568145902379417,68,4,"2018-01-18 13:59:00"
2018,1,"05","085",-0.19688288929598,26,2,"2018-01-18 13:59:00"
2018,1,"05","087",-0.072993332283354,35,2,"2018-01-18 13:59:00"
2018,1,"05","089",0.099717901063277,46,3,"2018-01-18 13:59:00"
2018,1,"05","091",-0.202429015378974,25,2,"2018-01-18 13:59:00"
2018,1,"05","093",0.678935019859382,69,4,"2018-01-18 13:59:00"
2018,1,"05","095",0.026344960286845,39,3,"2018-01-18 13:59:00"
2018,1,"05","097",-0.296606351039897,21,2,"2018-01-18 13:59:00"
2018,1,"05","099",0.413079254369837,63,4,"2018-01-18 13:59:00"
2018,1,"05","101",-0.712938499930853,5,1,"2018-01-18 13:59:00"
2018,1,"05","103",0.689531511272188,70,4,"2018-01-18 13:59:00"
2018,1,"05","105",-0.075409408680253,34,2,"2018-01-18 13:59:00"
2018,1,"05","107",1.5,75,4,"2018-01-18 13:59:00"
2018,1,"05","109",0.215928380199423,54,3,"2018-01-18 13:59:00"
2018,1,"05","111",0.906887155955202,74,4,"2018-01-18 13:59:00"
2018,1,"05","113",-0.305687207517122,20,2,"2018-01-18 13:59:00"
2018,1,"05","115",-0.818060880471562,4,1,"2018-01-18 13:59:00"
2018,1,"05","117",-0.432654892054734,13,1,"2018-01-18 13:59:00"
2018,1,"05","119",-0.207058887294936,24,2,"2018-01-18 13:59:00"
2018,1,"05","121",0.208034870767188,52,3,"2018-01-18 13:59:00"
2018,1,"05","123",0.044708210134794,40,3,"2018-01-18 13:59:00"
2018,1,"05","125",-0.638941910537624,7,1,"2018-01-18 13:59:00"
2018,1,"05","127",-0.323127821783817,19,1,"2018-01-18 13:59:00"
2018,1,"05","129",0.094881711271771,45,3,"2018-01-18 13:59:00"
2018,1,"05","131",-0.476980232428022,10,1,"2018-01-18 13:59:00"
2018,1,"05","133",-0.389569723034125,15,1,"2018-01-18 13:59:00"
